split,image,label,face_height,face_width,cheek_width,jaw_width,chin_width,eye_distance,face_ratio,cheek_ratio,jaw_ratio,chin_ratio,eye_ratio,cheek_to_jaw_ratio,jaw_angle,nose_vertical_ratio
train,data\face_shape\dataset\train\heart\Heart(0).jpg,heart,0.7517747766273306,0.8513784680021984,0.8409818447115508,0.6952363957862697,0.5057548987070783,0.5352419626013636,0.8830089142275435,0.9877884822304188,0.8166008677875966,0.5940423885676334,0.6286768842737299,1.2096343773263651,127.19539908513521,0.5191952419830693
train,data\face_shape\dataset\train\heart\Heart(1).jpg,heart,0.7813637967545745,0.874046135922281,0.8572659176870103,0.6934742536689215,0.49091307760933384,0.57141399679125,0.8939617311277174,0.9808016790583206,0.7934069211771955,0.5616557953103121,0.6537572483954777,1.2361899712231945,123.46458173871189,0.5514331976125456
train,data\face_shape\dataset\train\heart\Heart(10).jpg,heart,0.7851223006134808,0.8834142979686153,0.8797130277077339,0.7279829831651948,0.5176181157254585,0.5737975573333652,0.8887362389524892,0.9958102667464265,0.8240561476525453,0.5859290673874148,0.6495226063838853,1.2084252627483578,122.18621553857696,0.5343217678511997
train,data\face_shape\dataset\train\heart\Heart(100).jpg,heart,0.7800974787269755,0.8778792143891685,0.871904452584722,0.6985454071502495,0.46234219154793615,0.5774735354120991,0.8886159575719881,0.9931940958317327,0.7957192694627129,0.5266580914205099,0.6578052264444002,1.2481714769862984,124.23090240603766,0.5755149623038079
train,data\face_shape\dataset\train\heart\Heart(101).jpg,heart,0.7259374451725621,0.7694402388601634,0.7599205555079375,0.6176726729129507,0.4178231679890654,0.5135066242421414,0.943461764162418,0.9876277807275478,0.8027558759182665,0.5430222477161085,0.6673768777713549,1.2302965451331112,120.15345487307636,0.6082997307340663
train,data\face_shape\dataset\train\heart\Heart(102).jpg,heart,0.7703594974065571,0.8332796989961172,0.8255950525569034,0.6920109686316099,0.4856010547174432,0.54369370099372,0.9244908982357756,0.9907778307230192,0.8304666121895218,0.5827587727175697,0.6524744352331251,1.1930375239419169,114.00023095431563,0.5939362307202461
train,data\face_shape\dataset\train\heart\Heart(103).jpg,heart,0.8262628952182094,0.8390149493584897,0.8246011164948625,0.6533789138249565,0.4492806704260385,0.5641828188219081,0.984801159800513,0.9828205291518964,0.7787452587400613,0.535485894225792,0.6724347632342927,1.26205651735461,109.75696569700672,0.6173991528111789
train,data\face_shape\dataset\train\heart\Heart(104).jpg,heart,0.7755984900415475,0.8473922319230167,0.8423976180412407,0.6702370042996086,0.4361862074303311,0.6007186742271411,0.915276846804997,0.9941059007934949,0.7909406990651973,0.514739445322125,0.7089027390113186,1.2568652769650317,122.85491190318018,0.5797910936064791
train,data\face_shape\dataset\train\heart\Heart(105).jpg,heart,0.7719412199722919,0.8772433911167118,0.8592090948173,0.7048396167306634,0.4865275270636869,0.5559001484236863,0.879962422959525,0.9794420835972848,0.8034709909109921,0.5546095097329237,0.6336897536680641,1.2190136229893913,126.58549715736208,0.5979399118665537
train,data\face_shape\dataset\train\heart\Heart(106).jpg,heart,0.7562708480985247,0.8579578111463685,0.847781176659986,0.700764156729922,0.4758435258786908,0.5295521863452232,0.8814778981824599,0.9881385374033894,0.8167816035075073,0.5546234554854019,0.6172240399998887,1.2097952906383096,124.99623506539498,0.5891768338716181
train,data\face_shape\dataset\train\heart\Heart(107).jpg,heart,0.748878315938867,0.8435760426885412,0.8338516286249101,0.6884964601831781,0.47916003141260166,0.5537084198669032,0.8877425128766514,0.9884723918514344,0.8161640745378298,0.5680104782083214,0.6563823435551728,1.21111970336501,127.61732968504954,0.5685456642017357
train,data\face_shape\dataset\train\heart\Heart(108).jpg,heart,0.7723724537368365,0.8992512583049043,0.8790885076518337,0.6840574637868623,0.4633560286150263,0.5682980017194375,0.8589061695535068,0.9775782903088982,0.7606966990252714,0.5152687019737465,0.6319679805516021,1.2851091526511564,123.15617550663715,0.6034528986522417
train,data\face_shape\dataset\train\heart\Heart(109).jpg,heart,0.7788706970232523,0.8838978783263334,0.86971144165682,0.7094049004772195,0.49699549013594235,0.5548338286778609,0.8811772447039349,0.9839501406017904,0.802586947963358,0.5622770484266878,0.6277125924642364,1.2259732644527288,123.35397839122894,0.5608312267883913
